species:ncbi:36911	Clavispora lusitaniae
species:ncbi:186807	Peptococcaceae
species:ncbi:42241	Tardigrada
species:ncbi:151454	Bosea eneae 
species:ncbi:81852	Enterococcaceae 
species:ncbi:72082	Sebastes lentiginosus
species:ncbi:46909	Crithidia luciliae 
species:ncbi:74722	Stachybotrys chartarum
species:ncbi:1044	Erythrobacter longus 
species:ncbi:544912	Protostrongylus boughtoni 
species:ncbi:21024	Fagus
species:ncbi:94900	Long-nosed snake 
species:ncbi:266122	Lysobacter koreensis
species:ncbi:182954	Zeledonia 
species:ncbi:8996	gallina de guinea 
species:ncbi:152332	Lactobacillus parakefir 
species:ncbi:9090	codornices asiáticas
species:ncbi:117496	Gerygone olivacea 
species:ncbi:867	Ruminobacter amylophilus
species:ncbi:91785	barbudo tucán 
species:ncbi:885517	Cordylus cataphractus
species:ncbi:242120	petirrojo 
species:ncbi:259651	Catostomus plebeius 
species:ncbi:2026525	Salvia reflexa
species:ncbi:7046	Sitophilus granarius
species:ncbi:69262	Ammodramus caudacutus 
species:ncbi:29217	Gigartinaceae
species:ncbi:492514	Neophema splendida 
species:ncbi:43994	Johnsonella
species:ncbi:40677	Gorgonacea
species:ncbi:274785	Careproctus melanurus
species:ncbi:879884	Gillellus rubrocinctus
species:ncbi:12845	virus de la gripe,  A, porcino
species:ncbi:72763	Tessaracoccus 
species:ncbi:1500692	Gobiesox strumosus
species:ncbi:5599	Alternaria alternata 
species:ncbi:41937	Sapindales
species:ncbi:53972	Nocardia corynebacterioides 
species:ncbi:138	Borrelia
species:ncbi:211522	Acanthamoeba quina 
species:ncbi:53414	Xanthomonas populi
species:ncbi:8608	Boulengerina 
species:ncbi:47886	Ve - 1 de los Centers for Disease Control and Prevention
species:ncbi:203523	Longispora albida 
species:ncbi:227089	amphisbaenidae
species:ncbi:196	Campylobacter fetus 
species:ncbi:143919	Betanodavirus 
species:ncbi:33554	carnivora - animal carnívoro
species:ncbi:44503	Platemys
species:ncbi:3515	Alnus
species:ncbi:1170426	virus Saint Floris 
species:ncbi:129339	Geobacillus uzenensis 
species:ncbi:1822518	Fannia incisurata
species:ncbi:371864	Melanitta fusca 
species:ncbi:42725	Metachirus nudicaudatus 
species:ncbi:141825	Prosopium coulteri
species:ncbi:267503	Kochia 
species:ncbi:64279	virus Drosophila C
species:ncbi:36291	Muscicapidae 
species:ncbi:441950	Bradyrhizobium iriomotense
species:ncbi:2282769	Tanygnathus gramineus
species:ncbi:325458	Etapapillomavirus
species:ncbi:251246	Limnatis nilotica
species:ncbi:305793	Lactobacillus nantensis
species:ncbi:220926	Mycoplasma coccoides 
species:ncbi:310513	Aedes sollicitans
species:ncbi:55661	cuclillo gris
species:ncbi:45834	dulcamara
species:ncbi:36294	ruiseñor persa
species:ncbi:1566115	Tricholipeurus parallelus 
species:ncbi:118747	s de Bulleidia
species:ncbi:28838	s de Nematodirus 
species:ncbi:63400	Arthroderma benhamiae
species:ncbi:9039	faisán monal
species:ncbi:56281	ganso de Ross
species:ncbi:1032661	Aspergillus costiformis
species:ncbi:29349	Clostridium thermoalcaliphilum
species:ncbi:45070	Legionella nautarum 
species:ncbi:37921	Micrococcus agilis 
species:ncbi:33906	Actinopolyspora mortivallis
species:ncbi:857202	Esclerodermia aurantium
species:ncbi:309841	cotorra serrana occidental
species:ncbi:9598	Pan troglodytes 
species:ncbi:69781	Penicillium oxalicum 
species:ncbi:92003	Azoarcus toluclasticus 
species:ncbi:192378	Hexagrammos stelleri 
species:ncbi:1381948	Culicoides furens
species:ncbi:13180	cotorra ninfa
species:ncbi:45497	Clostridium ultunense 
species:ncbi:354349	Pseudochrobactrum
species:ncbi:35582	myxosporea
species:ncbi:320610	Lythrypnus zebra
species:ncbi:10803	AAV
species:ncbi:28051	Lachnospira multipara 
species:ncbi:2375	Sporomusa
species:ncbi:773	Bartonella
species:ncbi:90242	Neisseria iguanae
species:ncbi:91653	Diaphus theta 
species:ncbi:958	de Bdellovibrio 
species:ncbi:195105	Haematobacter massiliensis 
species:ncbi:68732	Fennecus zerda
species:ncbi:9812	hiráceo damán de Sudáfrica
species:ncbi:1154647	Citharichthys spilopterus
species:ncbi:68178	Streptomyces avellaneus
species:ncbi:200473	Brumimicrobium
species:ncbi:52763	Pullulanibacillus naganoensis
species:ncbi:2267	thermoproteaceae
species:ncbi:235	Brucella melitensis, bio abortus
species:ncbi:9004	Tympanuchus cupido
species:ncbi:290028	coronavirus humano HKU1 
species:ncbi:2190	Methanocaldococcus jannaschii 
species:ncbi:4762	oomycetes
species:ncbi:37179	tahr del Himalaya
species:ncbi:43263	Pseudomonas alcaligenes
species:ncbi:693998	coronavirus HKU2 de murciélago Rhinolophus 
species:ncbi:244445	fragata de la isla Ascensión 
species:ncbi:82633	IVc - 2 de los Centers for Disease Control and Prevention
species:ncbi:129043	Cololabis saira 
species:ncbi:53334	Camelostrongylus mentulatus
species:ncbi:1459829	Gymnothorax nigromarginatus
species:ncbi:1464	Paenibacillus larvae, sub larvae
species:ncbi:85025	Nocardiaceae
species:ncbi:51031	anquilostoma americano
species:ncbi:580247	virus de la parainfluenza aviaria
species:ncbi:216936	Spiroplasma diminutum
species:ncbi:2100588	Caulolatilus cyanops
species:ncbi:28697	alao aliblanco 
species:ncbi:35302	paramyxovirus aviario 2 
species:ncbi:327785	bonací gato
species:ncbi:909928	Negativicoccus
species:ncbi:12109	aftovirus
species:ncbi:6314	super trichostrongyloidea 
species:ncbi:173321	Seriola rivoliana 
species:ncbi:95911	hiena 
species:ncbi:13724	Thiocystis 
species:ncbi:31979	Clostridiaceae
species:ncbi:9078	Alectoris chukar
species:ncbi:7161	Aedes simpsoni
species:ncbi:40248	chamaeleonidae
species:ncbi:9845	sub ruminantia - animal rumiante
species:ncbi:274062	lori de manto negro
species:ncbi:3609	espina de mar
species:ncbi:122260	Digramma, SAI
species:ncbi:451427	Sturnus roseus
species:ncbi:73007	Sulfolobus yangmingensis
species:ncbi:323264	Cyprinodon pecosensis
species:ncbi:664639	Kocuria salsicia
species:ncbi:81785	Ornithogalum umbellatum
species:ncbi:309844	Forpus coelestis 
species:ncbi:75984	Mannheimia 
species:ncbi:1501	Clostridium pasteurianum
species:ncbi:119637	Larus hyperboreus 
species:ncbi:1354365	Cotylurus
species:ncbi:266337	Anthochaera 
species:ncbi:44322	Candida cylindracea 
species:ncbi:54374	mesito unicolor 
species:ncbi:54778	Ceanothus americanus 
species:ncbi:9694	Panthera tigris
species:ncbi:3712	brécol
species:ncbi:92647	Paraburkholderia tropica
species:ncbi:45899	Kalmia polifolia 
species:ncbi:8461	chelidae 
species:ncbi:42322	Eubacterium ruminantium 
species:ncbi:187985	Coendou prehensilis 
species:ncbi:20400	de Astragalus
species:ncbi:147589	Gyrodactylus elegans
species:ncbi:8197	Lycodes polaris
species:ncbi:44927	Zoanthidea 
species:ncbi:228248	Lophophorus lhuysii 
species:ncbi:40058	virus Orunga 
species:ncbi:1019	Capnocytophaga sputigena
species:ncbi:43114	Ambystoma maculatum 
species:ncbi:151037	Anaerosinus 
species:ncbi:1459	Sporosarcina globispora
species:ncbi:110675	Cochlearius 
species:ncbi:32257	Kingella 
species:ncbi:9136	Dendrocolaptidae
species:ncbi:45131	Botryosphaeriaceae
species:ncbi:168480	Gordonia namibiensis 
species:ncbi:188880	Eggerthella, s CJ88 
species:ncbi:157969	Bulinus
species:ncbi:9265	didelphidae
species:ncbi:47420	de Hydrogenophaga
species:ncbi:143332	pez volador
species:ncbi:74829	Pseudomonas balearica 
species:ncbi:221161	scopolia
species:ncbi:151783	Cupriavidus campinensis 
species:ncbi:38654	Alligator sinensi 
species:ncbi:319939	Pseudomonas otitidis
species:ncbi:588727	Kazachstania sinensis
species:ncbi:62294	Mogera
species:ncbi:111974	Columbina passerina
species:ncbi:3503	Fagaceae
species:ncbi:106654	geno 13 de Acinetobacter
species:ncbi:31988	Aminobacter
species:ncbi:1196582	de Dendrophoma
species:ncbi:73913	Methanocaldococcus vulcanius 
species:ncbi:36025	Pichia holstii 
species:ncbi:185586	Crex crex
species:ncbi:39725	Circovirus
species:ncbi:4753	Pneumocystis 
species:ncbi:5861	Plasmodium yoelii
species:ncbi:118748	Bulleidia extructa
species:ncbi:1497	Clostridium formicoaceticum
species:ncbi:38170	ortorreovirus aviario 
species:ncbi:9833	Hippopotamus amphibius
species:ncbi:30460	Bubo
species:ncbi:451427	Rosy pastor 
species:ncbi:361629	Bothrops nigroviridis marchi
species:ncbi:2023865	labro pintado
species:ncbi:78543	Pseudomonas migulae 
species:ncbi:175116	Chloropsis
species:ncbi:55666	Chrysococcyx
species:ncbi:176291	Lactobacillus vaccinostercus
species:ncbi:3608	Rhamnaceae - cambrón
species:ncbi:9569	sub Colobinae
species:ncbi:39842	Ichthyophonus 
species:ncbi:255583	de Amsinckia
species:ncbi:204922	Rhinoestrus
species:ncbi:71769	Ptychocheilus oregonensis
species:ncbi:9749	Delphinapterus leucas 
species:ncbi:1754	Thermoanaerobacter 
species:ncbi:72122	Paxillus atrotomentosus
species:ncbi:10405	Orthohepadnavirus 
species:ncbi:73051	Derogenes, SAI
species:ncbi:69501	abadejo 
species:ncbi:142786	Norovirus 
species:ncbi:197575	Haemophilus aegyptius
species:ncbi:29175	s de Neospora 
species:ncbi:1236058	Scarus coeruleus
species:ncbi:55544	tortuga macrocéfala
species:ncbi:8917	aguzanieves 
species:ncbi:68898	Streptomyces echinoruber
species:ncbi:337042	HPV 18
species:ncbi:189622	Babesia ovata
species:ncbi:9359	dasypodidae 
species:ncbi:454	Legionella israelensis 
species:ncbi:5877	Theileria sergenti
species:ncbi:84109	Slackia exigua 
species:ncbi:558418	Acetofilamentum 
species:ncbi:49	polyangiaceae 
species:ncbi:81409	Eubacterium aggregans
species:ncbi:196778	Moxostoma valenciennesi 
species:ncbi:89373	Flexibacteraceae
species:ncbi:1653872	Thiospira winogradskyi
species:ncbi:52765	Caldicellulosiruptor kristjanssonii
species:ncbi:39744	Rubulavirus
species:ncbi:168774	Physalia 
species:ncbi:114373	Procnias averano
species:ncbi:72403	Clusia
species:ncbi:458	Legionella rubrilucens
species:ncbi:209880	Allisonella histaminiformans
species:ncbi:37606	Pyrrhula 
species:ncbi:55968	Leucobacter 
species:ncbi:2195	Methanogenium
species:ncbi:9061	Pucrasia macrolopha
species:ncbi:187427	pico de coral común
species:ncbi:9846	Tragulidae
species:ncbi:753915	Hypoatherina harringtonensis 
species:ncbi:1572086	Baylisascaris devosi
species:ncbi:45794	Cryptococcus lactativorus
species:ncbi:2251	Haloferax 
species:ncbi:54351	perca de vientre azul
species:ncbi:27829	super Strongyloidea
species:ncbi:39841	Thermodesulforhabdus norvegica 
species:ncbi:2267273	de Diphyllobothrium 
species:ncbi:198092	Muricoccus roseus 
species:ncbi:161355	Planomonospora sphaerica
species:ncbi:551	s de Erwinia 
species:ncbi:543940	pastinaca de trompa mocha
species:ncbi:186817	Bacillaceae
species:ncbi:45667	Halobacillus
species:ncbi:5758	s de Entamoeba
species:ncbi:73873	Engyodontium
species:ncbi:1920	Streptomyces nigrescens 
species:ncbi:28376	Anolis 
species:ncbi:3633	Gossypium 
species:ncbi:374947	Dasymutilla occidentalis 
species:ncbi:36873	Burkholderia xenovorans
species:ncbi:10508	: Adenovirus
species:ncbi:2708	Citrus limon
species:ncbi:1328	Streptococcus anginosus 
species:ncbi:54909	alburno
species:ncbi:27301	Schwanniomyces polymorphus 
species:ncbi:60875	virus Mucambo 
species:ncbi:67344	Streptomyces prasinopilosus 
species:ncbi:121554	Senecio squalidus 
species:ncbi:366580	Bowmanella 
species:ncbi:82982	Obesumbacterium
species:ncbi:9463	gran galago
species:ncbi:28216	Betaproteobacteria
species:ncbi:33614	buitre negro
species:ncbi:464	Fluoribacter gormanii
species:ncbi:125272	vanga azul
species:ncbi:248133	ciervo de los pantanos
species:ncbi:11552	virus influenza C 
species:ncbi:30478	chunco de trompa larga
species:ncbi:48868	Greater Egyptian jerboa 
species:ncbi:56341	Microhierax erythrogonys
species:ncbi:346178	adenovirus F bovino
species:ncbi:36270	sylviidae
species:ncbi:4668	del narciso atrompetado 
species:ncbi:2747	Carnobacterium
species:ncbi:8292	amphibia
species:ncbi:52831	Hoya 
species:ncbi:3444	ajenuz
species:ncbi:382954	Clostridium nitrophenolicum
species:ncbi:8786	Casuarius
species:ncbi:207343	virus sincicial bovino
species:ncbi:94911	Atherinomorus stipes 
species:ncbi:76886	Caldivirga
species:ncbi:1118557	eufonia coroniamarilla 
species:ncbi:394690	Sebastes dalli
species:ncbi:915	Nitrosomonas europaea
species:ncbi:156569	Eurasian penduline tit 
species:ncbi:328270	Etheostoma nianguae 
species:ncbi:186226	Pedicinus
species:ncbi:9898	Ammotragus
species:ncbi:10320	virus del herpes bovino  1
species:ncbi:338565	Erwinia tasmaniensis 
species:ncbi:700652	Mugil trichodon 
species:ncbi:988	Cytophaga marinoflava
species:ncbi:285231	Pionopsitta caica 
species:ncbi:474942	Ophiocordycipitaceae
species:ncbi:303729	Lactophrys polygonia
species:ncbi:6933	acarina
species:ncbi:566	Escherichia vulneris
species:ncbi:100590	Bilharziella polonica
species:ncbi:43131	Clostridium hastiforme 
species:ncbi:28557	Pleospora 
species:ncbi:5207	Cryptococcus neoformans
species:ncbi:156976	Corynebacterium riegelii 
species:ncbi:46125	Abiotrophia defectiva 
species:ncbi:116992	miná del Himalaya
species:ncbi:4059	Rauvolfia
species:ncbi:282305	Dietzia papillomatosis 
species:ncbi:197	Campylobacter jejuni
species:ncbi:76218	Nymphalis
species:ncbi:197614	Streptococcus pasteurianus 
species:ncbi:1247400	Syacium gunteri 
species:ncbi:10406	virus de la hepatitis B de la ardilla terrestre
species:ncbi:112902	Propionispora
species:ncbi:50403	Vanellus
species:ncbi:8078	Fundulus heteroclitus
species:ncbi:67556	Rhinichthys atratulus 
species:ncbi:309866	Pionites melanocephala
species:ncbi:1242174	Dyella kyungheensis
species:ncbi:41807	Sus barbatus
species:ncbi:9984	Oryctolagus 
species:ncbi:159335	miotis de patas largas
species:ncbi:153620	mero de Yucatán
species:ncbi:279936	Calidris alba 
species:ncbi:61403	gato de cabeza plana
species:ncbi:192843	Rhodoferax ferrireducens
species:ncbi:6683	decapoda
species:ncbi:231341	Dactylogyrus vastator
species:ncbi:37331	Pseudonocardia petroleophila 
species:ncbi:1036253	Chaetomium subaffine 
species:ncbi:204286	Cobetia
species:ncbi:4852	Cunninghamella 
species:ncbi:98126	Garrulax 
species:ncbi:51049	Actinobacillus indolicus 
species:ncbi:9054	faisán vulgar
species:ncbi:184441	Serranus baldwini 
species:ncbi:6192	platelminto hepático común
species:ncbi:124748	Harpiocephalus 
species:ncbi:693370	Cestrum diurnum
species:ncbi:565376	Ancalochloris
species:ncbi:476	Hemophilus bovis
species:ncbi:155974	Actinokineospora terrae 
species:ncbi:319970	Enterococcus devriesei
species:ncbi:5005	Sporidiobolus salmonicolor 
species:ncbi:183613	Queen water snake
species:ncbi:120107	Sphingomonas cloacae
species:ncbi:161648	ampelis chinito 
species:ncbi:44271	Leishmania chagasi
species:ncbi:1109061	jacamar grande 
species:ncbi:188932	Pedobacter cryoconitis
species:ncbi:9059	faisán ocelado de Birmania
species:ncbi:2093	Mycoplasmata
species:ncbi:1132580	vireón de pecho castaño 
species:ncbi:2038	Tropheryma
species:ncbi:1910	Streptomyces griseosporeus 
species:ncbi:227313	s de Cochlosoma 
species:ncbi:188787	Deinococci 
species:ncbi:30225	arctiidae
species:ncbi:61595	Allochromatium warmingii
species:ncbi:1140891	Megalopyge lanata 
species:ncbi:409227	de Gliomatix
species:ncbi:33987	Exiguobacterium aurantiacum 
species:ncbi:191816	Felis pardina 
species:ncbi:265606	Rhodopirellula baltica
species:ncbi:51314	Eimeria brunetti
species:ncbi:113407	Auxarthron concentricum
species:ncbi:1690662	Eimeria fulva 
species:ncbi:144051	Cripavirus 
species:ncbi:1382551	Periconia byssoides
species:ncbi:81714	parásito de los murciélagos
species:ncbi:189326	Gelria 
species:ncbi:9469	Nycticebus
species:ncbi:308076	Gobiomorus dormitor
species:ncbi:466964	Hiodon tergisus
species:ncbi:87717	Notropis leedsi 
species:ncbi:162964	Etheostoma coosae 
species:ncbi:306418	Tylecodon grandiflorus 
species:ncbi:840	Prevotella loeschii (concepto no activo)
species:ncbi:1042646	Theragra chalcogramma
species:ncbi:1608255	virus del herpes 2 de los cerdos
species:ncbi:82108	Cladophialophora arxii
species:ncbi:34924	pica pica 
species:ncbi:44525	Pelusios
species:ncbi:33938	Geobacillus gargensis
species:ncbi:90312	Coriolus unicolor
species:ncbi:357702	Lonchura malacca 
species:ncbi:157619	paramixovirus aviario 6
species:ncbi:55181	Phyllosticta citricarpa 
species:ncbi:13338	cáñamo americano
species:ncbi:5754	s de Acanthamoeba 
species:ncbi:290549	Porrocaecum crassum 
species:ncbi:4037	apiaceae - umbelliferae - perejil
species:ncbi:38772	Scaptochelys agassizii
species:ncbi:47883	Pseudomonas synxantha
species:ncbi:380	Ensifer fredii
species:ncbi:12542	virus de la fiebre hemorrágica de Omsk 
species:ncbi:101489	Xylanimicrobium pachnodae
species:ncbi:11021	virus de la encefalomielitis equina del este
species:ncbi:1658668	Glossina tabaniformis 
species:ncbi:9957	orix 
species:ncbi:155321	Thermococcus atlanticus 
species:ncbi:38622	cuscus
species:ncbi:566277	Lentisphaeraceae
species:ncbi:1613	Lactobacillus cellobiosus
species:ncbi:111847	Notropis dorsalis 
species:ncbi:8704	Vipera ammodytes (organismo vivo)
species:ncbi:1274	Micrococcus nishinomiyaensis 
species:ncbi:61851	Hylobates hoolock 
species:ncbi:9013	Colinus
species:ncbi:1002201	Notropis petersoni 
species:ncbi:117157	Actinopolymorpha singaporensis
species:ncbi:86957	Selenomonas lacticifex 
species:ncbi:135615	Cardiobacteriales
species:ncbi:546522	Lagocephalus lagocephalus
species:ncbi:704025	Ophionyssus
species:ncbi:1182200	Scorpaenodes caribbaeus 
species:ncbi:223923	clavaria falsa de la coliflor
species:ncbi:208443	Amycolatopsis balhimycina
species:ncbi:91778	tucán aracari 
species:ncbi:36316	Eurycea lucifuga
species:ncbi:68729	Cuon 
species:ncbi:1547355	Silvius quadrivittatus 
species:ncbi:331971	Thalassobacillus
species:ncbi:183610	culebra semiacuática 
species:ncbi:1036770	Acremonium vitellinum
species:ncbi:146476	Acetobacter roseisyzygii
species:ncbi:9929	topi
species:ncbi:484	Neisseria flavescens
species:ncbi:43333	Mazama 
species:ncbi:155042	Geobacter grbiciae
species:ncbi:6920	Loxosceles 
species:ncbi:920	Acidithiobacillus ferrooxidans 
species:ncbi:8718	Agkistrodon bilineatus 
species:ncbi:1292	Staphylococcus warneri 
species:ncbi:58839	Septata intestinalis
species:ncbi:37637	Corynebacterium pseudodiphtheriticum
species:ncbi:9095	Crossoptilon
species:ncbi:76936	Helicobacter typhlonius 
species:ncbi:29361	Clostridium nexile
species:ncbi:84524	Gasterophilus 
species:ncbi:379293	Senecio burchellii 
species:ncbi:40346	Strongylus edentatus 
species:ncbi:74385	Gracilibacillus 
species:ncbi:13427	Cichorium intybus
species:ncbi:108525	Pseudobacillus
species:ncbi:129059	Platybelone argalus 
species:ncbi:58064	Eonycteris 
species:ncbi:66848	Desulfonatronum 
species:ncbi:8868	Cygnus atratus 
species:ncbi:32069	Aquificales 
species:ncbi:117017	Asterophora lycoperdoides 
species:ncbi:60466	Agapornis personatus 
species:ncbi:134920	Pungitius pungitius
species:ncbi:482919	Orthopristis chrysoptera
species:ncbi:3111	Prototheca wickerhamii
species:ncbi:40518	Ruminococcus bromii 
species:ncbi:36817	Streptomyces pseudogriseolus 
species:ncbi:6237	Caenorhabditis 
species:ncbi:1847	de Amycolata
species:ncbi:661394	Tritirachium oryzae
species:ncbi:197903	Trichodinella 
species:ncbi:34406	Colletotrichum destructivum 
species:ncbi:12176	Potexvirus 
species:ncbi:137591	Weissella cibaria 
species:ncbi:688394	Lichtheimia ramosa 
species:ncbi:348802	Exophiala xenobiotica
species:ncbi:129726	virus del nódulo del ordeñador
species:ncbi:30475	rajidae - raya
species:ncbi:247671	Uraeginthus cyanocephalus
species:ncbi:103366	Trichosporon terricola 
species:ncbi:72556	Alcaligenes piechaudii
species:ncbi:99176	Eimeria alabamensis
species:ncbi:78328	Coenonia
species:ncbi:89772	Defluvibacter lusatiensis
species:ncbi:7850	alopiidae - zorra de mar 
species:ncbi:162289	Peptoniphilus
species:ncbi:108018	Cadophora malorum 
species:ncbi:547471	matalote yaqui
species:ncbi:30535	Pecari pecari 
species:ncbi:43927	Halobaculum
species:ncbi:1266866	Cryptacanthodes maculatus 
species:ncbi:2421	Thermosipho africanus 
species:ncbi:77566	Hepatocystis, SAI
species:ncbi:2017	Streptoalloteichus hindustanus
species:ncbi:48617	Crotophaga major
species:ncbi:1938391	Chilodonella hexasticha 
species:ncbi:478374	Acarapis
species:ncbi:146825	Halorhabdus 
species:ncbi:30600	Propithecus 
species:ncbi:34899	petauro ardilla
species:ncbi:47761	Streptomyces ochraceiscleroticus
species:ncbi:40677	gorgonias
species:ncbi:9950	Madoqua
species:ncbi:62259	Vermivora celata
species:ncbi:44249	Paenibacillus
species:ncbi:28487	Scilla rigidifolia
species:ncbi:209364	Gyropus ovalis
species:ncbi:2204	Methanomicrobium 
species:ncbi:33900	Streptomyces murinus
species:ncbi:94035	Taenia serialis
species:ncbi:1132856	Rasamsonia
species:ncbi:406	Methylomonas methylovora
species:ncbi:110671	garza verde pequeña
species:ncbi:10988	fijivirus
species:ncbi:246786	Bacillus indicus
species:ncbi:180286	Hespellia porcina 
species:ncbi:34390	Epidermophyton
species:ncbi:8108	scorpaenidae - escorpina 
species:ncbi:245187	Loktanella fryxellensis
species:ncbi:225393	Micropterus notius
species:ncbi:2074	Nocardia autotrophica
species:ncbi:4890	Phylum Ascomycota 
species:ncbi:555485	Haemulon bonariense
species:ncbi:142859	de paro
species:ncbi:122354	filaria de Ozzard
species:ncbi:8579	Elaphe 
species:ncbi:4455	Alocasia
species:ncbi:10437	Avihepadnavirus
species:ncbi:187979	Mitsuokella jalaludinii 
species:ncbi:1057	Thiococcus pfennigii 
species:ncbi:44251	Clostridium durum 
species:ncbi:102862	Proteus penneri
species:ncbi:337048	papillomavirus humano 32 
species:ncbi:6956	Dermatophagoides pteronyssimus (concepto no activo)
species:ncbi:47278	Trichothecium roseum
species:ncbi:10298	:  1 del herpes humano
species:ncbi:118883	sulfolobaceae
species:ncbi:39486	Eubacterium formicigenerans 
species:ncbi:200413	Moraxella oblonga
species:ncbi:9487	tamarín de cabeza marrón
species:ncbi:90244	Oligella ureolytica
species:ncbi:475861	Nupapillomavirus
species:ncbi:56256	sagittaridae
species:ncbi:6102	sub Hexacorallia
species:ncbi:9205	pelecaniformes
species:ncbi:13477	Notropis spilopterus
species:ncbi:41871	Acipenser fulvescens 
species:ncbi:390302	Amblycirrhitus pinos
species:ncbi:1257	Peptostreptococcus 
species:ncbi:50434	Ctenocephalides canis 
species:ncbi:13677	Scomber scombrus 
species:ncbi:60894	Saccharopolyspora spinosa 
species:ncbi:89184	Silicibacter pomeroyi 
species:ncbi:215690	Thermomonas fusca
species:ncbi:9132	Western magpie 
species:ncbi:71765	Lavinia exilicauda 
species:ncbi:29518	Borrelia afzelii
species:ncbi:150829	Treponema azotonutricium 
species:ncbi:237442	Tichodroma muraria
species:ncbi:39777	Veillonella atypica
species:ncbi:9637	Tremarctos 
species:ncbi:451807	Microbacterium halophilum
species:ncbi:27671	Pipistrellus 
species:ncbi:626	s de Xenorhabdus
species:ncbi:223495	Buteogallus
species:ncbi:113286	Pseudoramibacter
species:ncbi:4097	planta de tabaco
species:ncbi:293229	Cyphellophora olivacea 
species:ncbi:106589	Cupriavidus 
species:ncbi:73141	Thiocystis violascens 
species:ncbi:134534	Acinetobacter gyllenbergii 
species:ncbi:162145	metapneumovirus humano 
species:ncbi:197575	bacilo de Koch - Weeks
species:ncbi:56078	de pájaro carpintero 
species:ncbi:4059	Rauvolfia 
species:ncbi:1603857	Dendronanthus
species:ncbi:155177	Streptomyces yatensis 
species:ncbi:88082	Crotalus tigris 
species:ncbi:86058	Coronatae
species:ncbi:36823	Gordonia sputi 
species:ncbi:826	Sebaldella termitidis 
species:ncbi:176044	Poicephalus 
species:ncbi:237612	Sphingomonas panni 
species:ncbi:7041	escarabajo
species:ncbi:43142	Acanthamoeba culbertsoni
species:ncbi:202956	Acinetobacter towneri 
species:ncbi:292440	Hydrophiidae
species:ncbi:460188	Enteromonas
species:ncbi:47847	Brachybacterium nesterenkovii 
species:ncbi:13180	Nymphicus hollandicus
species:ncbi:171	Leptospira 
species:ncbi:28136	Prevotella oulora 
species:ncbi:1873	Micromonospora
species:ncbi:1144522	Tritrichomonas foetus 
species:ncbi:34880	Nyctereutes procyonoides
species:ncbi:203326	gobio verde
species:ncbi:166762	Risor ruber 
species:ncbi:355677	Astrotia stokesii
species:ncbi:12163	carlavirus 
species:ncbi:86175	Bordetella pertussis rugosa fase IV 
species:ncbi:347946	petirrojo japonés
species:ncbi:1437469	Haemogregarina stepanowi
species:ncbi:5368	Boletaceae
species:ncbi:44927	Zoanthidea
species:ncbi:52650	Lagopus lagopus
species:ncbi:8081	Poecilia reticulata
species:ncbi:8785	Casuariidae
species:ncbi:671622	Microbacterium yannicii
species:ncbi:1141744	Avitellina centripunctata 
species:ncbi:239934	Akkermansia
species:ncbi:1569	Sporosarcina 
species:ncbi:43767	Corynebacterium hoagii 
species:ncbi:4457	Arum
species:ncbi:141835	cacatúa oftálmica
species:ncbi:61412	gato dorado africano
species:ncbi:1712	Cellulomonas gelida
species:ncbi:181538	Kerodon 
species:ncbi:194548	Lepomis marginattus 
species:ncbi:394705	Sebastes rufinanus 
species:ncbi:29369	Clostridium absonum
species:ncbi:1566115	Tricholipeurus parallelus
species:ncbi:163816	perca de rayas azules
species:ncbi:8988	Aburria
species:ncbi:33012	Propionimicrobium lymphophilum
species:ncbi:119418	Tauraco macrorhynchus
species:ncbi:261738	Arctocebus 
species:ncbi:341241	Raja binoculata 
species:ncbi:189536	azulejo garganta azul
species:ncbi:76831	Myroides 
species:ncbi:1533	Clostridium fallax
species:ncbi:77228	Balionycteris
species:ncbi:228596	Nocardia shimofusensis 
species:ncbi:9918	Bubalus
species:ncbi:217203	Achromobacter spanius 
species:ncbi:372299	Melanerpes cruentatus 
species:ncbi:206045	Vulcanithermus mediatlanticus 
species:ncbi:948951	mamífero desdentado 
species:ncbi:65123	Haemobartonella wenyonii
species:ncbi:35832	Bilophila 
species:ncbi:9415	Phyllostomidae
species:ncbi:941338	Bhargavaea
species:ncbi:182681	Desmana 
species:ncbi:68221	Streptomyces inusitatus
species:ncbi:343250	Vipera russellii formosensis
species:ncbi:11318	virus Dhori 
species:ncbi:646095	Paenibacillus sputi 
species:ncbi:67343	Streptomyces praecox
species:ncbi:400634	Lysinibacillus 
species:ncbi:175020	Aegithina 
species:ncbi:340710	Aggregata eberthi 
species:ncbi:28450	Pseudomonas pseudomallei
species:ncbi:108980	Acinetobacter ursingii 
species:ncbi:107204	Drongo 
species:ncbi:161590	espetón del golfo
species:ncbi:4441	camelia 
species:ncbi:114652	Streptococcus orisratti
species:ncbi:9307	macropodidae
species:ncbi:8726	jararacussu
species:ncbi:261198	Accipiter cooperii
species:ncbi:40411	Glenosporella
species:ncbi:35818	Helicobacter pullorum 
species:ncbi:78119	Succinispira
species:ncbi:43581	Gray-breasted silver-eye 
species:ncbi:172045	Chryseobacterium miricola 
species:ncbi:1955774	Emergomyces pasteurianus
species:ncbi:108471	Graphidium 
species:ncbi:1036675	Acremoniella 
species:ncbi:421530	Chryseobacterium bovis 
species:ncbi:135742	Paracoccus methylutens
species:ncbi:1083	Phaeospirillum molischianum
